team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Royal Challengers Bangalore,Kolkata Knight Riders,1,Royal Challengers Bangalore,field,Kolkata Knight Riders,M Chinnaswamy Stadium,runs,140.0,223.0
Kings XI Punjab,Chennai Super Kings,1,Chennai Super Kings,bat,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",runs,33.0,241.0
Delhi Daredevils,Rajasthan Royals,1,Rajasthan Royals,bat,Delhi Daredevils,Feroz Shah Kotla,wickets,9.0,130.0
Mumbai Indians,Royal Challengers Bangalore,1,Mumbai Indians,bat,Royal Challengers Bangalore,Wankhede Stadium,wickets,5.0,166.0
Kolkata Knight Riders,Deccan Chargers,1,Deccan Chargers,bat,Kolkata Knight Riders,Eden Gardens,wickets,5.0,111.0
Rajasthan Royals,Kings XI Punjab,1,Kings XI Punjab,bat,Rajasthan Royals,Sawai Mansingh Stadium,wickets,6.0,167.0
Deccan Chargers,Delhi Daredevils,1,Deccan Chargers,bat,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",wickets,9.0,143.0
Chennai Super Kings,Mumbai Indians,1,Mumbai Indians,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,6.0,209.0
Deccan Chargers,Rajasthan Royals,1,Rajasthan Royals,field,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",wickets,3.0,215.0
Kings XI Punjab,Mumbai Indians,1,Mumbai Indians,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",runs,66.0,183.0
Chennai Super Kings,Kolkata Knight Riders,1,Kolkata Knight Riders,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",wickets,7.0,136.0
Royal Challengers Bangalore,Rajasthan Royals,1,Rajasthan Royals,field,Rajasthan Royals,M Chinnaswamy Stadium,wickets,9.0,148.0
Mumbai Indians,Deccan Chargers,1,Deccan Chargers,field,Deccan Chargers,Dr DY Patil Sports Academy,wickets,10.0,155.0
Kings XI Punjab,Delhi Daredevils,1,Delhi Daredevils,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,4.0,159.0
Royal Challengers Bangalore,Chennai Super Kings,1,Chennai Super Kings,bat,Chennai Super Kings,M Chinnaswamy Stadium,runs,13.0,179.0
